Image Name,Gender,Age,Emotion,Gender Prob,Age Prob,Emotion Prob,Top 3 Age,Conf,Top 3 Emotion,Conf
0115fd2f-348518ACC512_1_2024-01-21_174737256,Male,Age 48-59,Neutral,"0.8450,0.1550","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0000,Age 15-24: 0.0001,Age 25-37: 0.0057,Age 38-47: 0.4246,Age 48-59: 0.5477,Age 60-100: 0.0220","Neutral: 0.8808,Happy: 0.0099,Sad: 0.0163,Surprised: 0.0105,Fear: 0.0028,Disgust: 0.0088,Angry: 0.0180,Contempt: 0.0528","['Age 48-59', 'Age 38-47', 'Age 60-100']",0.12309999999999999,"['Neutral', 'Contempt', 'Angry']",0.8280000000000001
0235a638-3485186E5006_1_20240117_145301,Male,Age 25-37,Neutral,"1.0000,0.0000","Age 0-3: 0.0017,Age 4-7: 0.0016,Age 8-14: 0.0048,Age 15-24: 0.0465,Age 25-37: 0.3733,Age 38-47: 0.2550,Age 48-59: 0.2858,Age 60-100: 0.0313","Neutral: 0.6744,Happy: 0.0146,Sad: 0.1990,Surprised: 0.0059,Fear: 0.0091,Disgust: 0.0260,Angry: 0.0348,Contempt: 0.0361","['Age 25-37', 'Age 48-59', 'Age 38-47']",0.08750000000000002,"['Neutral', 'Sad', 'Contempt']",0.4754
025e5a41-3485189BE312_1_2024-01-21_120207746,Male,Age 48-59,Neutral,"0.9993,0.0007","Age 0-3: 0.0002,Age 4-7: 0.0001,Age 8-14: 0.0001,Age 15-24: 0.0026,Age 25-37: 0.0606,Age 38-47: 0.1677,Age 48-59: 0.7311,Age 60-100: 0.0375","Neutral: 0.8710,Happy: 0.0087,Sad: 0.0158,Surprised: 0.0115,Fear: 0.0084,Disgust: 0.0092,Angry: 0.0067,Contempt: 0.0687","['Age 48-59', 'Age 38-47', 'Age 25-37']",0.5634,"['Neutral', 'Contempt', 'Sad']",0.8023
0285b56e-3485186E2E32_1_20240121_095109,Male,Age 25-37,Neutral,"0.9287,0.0713","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0001,Age 15-24: 0.0066,Age 25-37: 0.9027,Age 38-47: 0.0808,Age 48-59: 0.0089,Age 60-100: 0.0008","Neutral: 0.8713,Happy: 0.0266,Sad: 0.0122,Surprised: 0.0277,Fear: 0.0026,Disgust: 0.0071,Angry: 0.0125,Contempt: 0.0399","['Age 25-37', 'Age 38-47', 'Age 48-59']",0.8219,"['Neutral', 'Contempt', 'Surprised']",0.8313999999999999
032f5f94-3485186E89B6_1_2024-01-27_184453949,Male,Age 25-37,Neutral,"0.8155,0.1845","Age 0-3: 0.0009,Age 4-7: 0.0015,Age 8-14: 0.0076,Age 15-24: 0.0795,Age 25-37: 0.5284,Age 38-47: 0.2651,Age 48-59: 0.0968,Age 60-100: 0.0202","Neutral: 0.6555,Happy: 0.0970,Sad: 0.0902,Surprised: 0.0231,Fear: 0.0050,Disgust: 0.0424,Angry: 0.0288,Contempt: 0.0580","['Age 25-37', 'Age 38-47', 'Age 48-59']",0.2633,"['Neutral', 'Happy', 'Sad']",0.5585
0343f35f-3485186E89B6_1_2024-01-27_184336377,Male,Age 25-37,Neutral,"0.6361,0.3639","Age 0-3: 0.0003,Age 4-7: 0.0001,Age 8-14: 0.0002,Age 15-24: 0.0047,Age 25-37: 0.5266,Age 38-47: 0.1436,Age 48-59: 0.2912,Age 60-100: 0.0333","Neutral: 0.8595,Happy: 0.0300,Sad: 0.0174,Surprised: 0.0528,Fear: 0.0033,Disgust: 0.0082,Angry: 0.0145,Contempt: 0.0144","['Age 25-37', 'Age 48-59', 'Age 38-47']",0.23539999999999994,"['Neutral', 'Surprised', 'Happy']",0.8067000000000001
040dba95-3485186E5006_1_20240113_144712,Male,Age 25-37,Neutral,"1.0000,0.0000","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0000,Age 15-24: 0.0015,Age 25-37: 0.8947,Age 38-47: 0.1024,Age 48-59: 0.0011,Age 60-100: 0.0004","Neutral: 0.9503,Happy: 0.0022,Sad: 0.0041,Surprised: 0.0025,Fear: 0.0010,Disgust: 0.0050,Angry: 0.0068,Contempt: 0.0280","['Age 25-37', 'Age 38-47', 'Age 15-24']",0.7923,"['Neutral', 'Contempt', 'Angry']",0.9223
048e6f60-3485186E5006_1_20240121_094623,Male,Age 25-37,Neutral,"0.9240,0.0760","Age 0-3: 0.0011,Age 4-7: 0.0005,Age 8-14: 0.0025,Age 15-24: 0.0970,Age 25-37: 0.6220,Age 38-47: 0.0395,Age 48-59: 0.2193,Age 60-100: 0.0181","Neutral: 0.7891,Happy: 0.0140,Sad: 0.1603,Surprised: 0.0043,Fear: 0.0020,Disgust: 0.0037,Angry: 0.0074,Contempt: 0.0192","['Age 25-37', 'Age 48-59', 'Age 15-24']",0.4027,"['Neutral', 'Sad', 'Contempt']",0.6288
04b2d251-3485186E7D7E_1_2024-01-24_152310963,Male,Age 38-47,Neutral,"0.9949,0.0051","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0004,Age 15-24: 0.0075,Age 25-37: 0.3500,Age 38-47: 0.5096,Age 48-59: 0.1301,Age 60-100: 0.0023","Neutral: 0.8761,Happy: 0.0090,Sad: 0.0240,Surprised: 0.0066,Fear: 0.0026,Disgust: 0.0124,Angry: 0.0292,Contempt: 0.0401","['Age 38-47', 'Age 25-37', 'Age 48-59']",0.15960000000000008,"['Neutral', 'Contempt', 'Angry']",0.836
05130035-3485186E5006_1_2024-01-13_150412157,Female,Age 25-37,Neutral,"0.0008,0.9992","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0008,Age 15-24: 0.0097,Age 25-37: 0.9629,Age 38-47: 0.0228,Age 48-59: 0.0029,Age 60-100: 0.0008","Neutral: 0.8112,Happy: 0.0547,Sad: 0.0730,Surprised: 0.0189,Fear: 0.0017,Disgust: 0.0041,Angry: 0.0132,Contempt: 0.0234","['Age 25-37', 'Age 38-47', 'Age 15-24']",0.9400999999999999,"['Neutral', 'Sad', 'Happy']",0.7382000000000001
